"ID";"Sigla";"Nome";"Tipo/Natureza";"Esfera";"Contexto";"Descrição";"Status";"Nota do status"
"irpf";"IRPF";"Imposto sobre a Renda da Pessoa Física";"Imposto";"Federal";"Pessoa física";"Incide sobre renda e proventos tributáveis de pessoas físicas, conforme as regras do Imposto de Renda.";"Vigente";""
"irpj";"IRPJ";"Imposto sobre a Renda da Pessoa Jurídica";"Imposto";"Federal";"Empresa";"Incide sobre a renda/lucro tributável das pessoas jurídicas.";"Vigente";""
"irrf";"IRRF";"Imposto sobre a Renda Retido na Fonte";"Imposto";"Federal";"Pessoa física / Empresa / Financeiro";"Forma de arrecadação do Imposto de Renda em que o pagador retém o valor na fonte em diversas hipóteses.";"Vigente";""
"ipi";"IPI";"Imposto sobre Produtos Industrializados";"Imposto";"Federal";"Indústria / Comércio exterior";"Incide sobre produtos industrializados e, em determinadas hipóteses, na importação. Sofre mudanças relevantes com a Reforma Tributária.";"Em transição";""
"iof";"IOF";"Imposto sobre Operações de Crédito, Câmbio e Seguro, ou relativas a Títulos ou Valores Mobiliários";"Imposto";"Federal";"Financeiro";"Incide sobre operações de crédito, câmbio, seguro e operações relativas a títulos ou valores mobiliários.";"Vigente";""
"ii";"II";"Imposto de Importação";"Imposto";"Federal";"Comércio exterior";"Incide sobre a importação de produtos estrangeiros.";"Vigente";""
"ie";"IE";"Imposto de Exportação";"Imposto";"Federal";"Comércio exterior";"Pode incidir sobre a exportação de produtos nacionais ou nacionalizados nas hipóteses previstas em lei.";"Vigente";""
"itr";"ITR";"Imposto sobre a Propriedade Territorial Rural";"Imposto";"Federal";"Imobiliário / Rural";"Incide sobre propriedade territorial rural.";"Vigente";""
"igf";"IGF";"Imposto sobre Grandes Fortunas";"Imposto";"Federal";"Patrimônio";"Previsto constitucionalmente, mas depende de lei complementar para ser instituído.";"Não instituído";""
"icms";"ICMS";"Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação";"Imposto";"Estadual";"Comércio / Consumo / Transporte / Telecom";"Tributa principalmente circulação de mercadorias, transporte intermunicipal/interestadual e comunicação. Será substituído gradualmente pelo IBS.";"Em transição";""
"ipva";"IPVA";"Imposto sobre a Propriedade de Veículos Automotores";"Imposto";"Estadual";"Veículos";"Incide sobre a propriedade de veículos automotores, conforme legislação estadual.";"Vigente";""
"itcmd";"ITCMD";"Imposto sobre Transmissão Causa Mortis e Doação";"Imposto";"Estadual";"Herança / Doação / Patrimônio";"Incide sobre transmissão gratuita de bens ou direitos por herança ou doação.";"Vigente";""
"iss";"ISS";"Imposto sobre Serviços de Qualquer Natureza";"Imposto";"Municipal";"Serviços";"Incide sobre prestações de serviços definidas em lei complementar. Será substituído gradualmente pelo IBS.";"Em transição";""
"issqn";"ISSQN";"Imposto sobre Serviços de Qualquer Natureza";"Imposto";"Municipal";"Serviços";"Outra sigla amplamente utilizada para o ISS.";"Em transição";""
"iptu";"IPTU";"Imposto sobre a Propriedade Predial e Territorial Urbana";"Imposto";"Municipal";"Imobiliário";"Incide sobre propriedade predial e territorial urbana.";"Vigente";""
"itbi";"ITBI";"Imposto sobre Transmissão de Bens Imóveis";"Imposto";"Municipal";"Imobiliário";"Incide, em linhas gerais, sobre transmissão onerosa inter vivos de bens imóveis e direitos imobiliários abrangidos pela legislação.";"Vigente";""
"ibs";"IBS";"Imposto sobre Bens e Serviços";"Imposto";"Estadual + Municipal";"Consumo / Empresa";"Novo imposto sobre consumo de competência compartilhada entre estados, DF e municípios. Está em implementação na Reforma Tributária.";"Em implantação";"Implementação 2026"
"is";"IS";"Imposto Seletivo";"Imposto";"Federal";"Consumo / Indústria";"Novo imposto federal seletivo sobre bens e serviços definidos em lei, voltado especialmente a externalidades negativas à saúde ou ao meio ambiente.";"Em implantação";"Implementação"
"pis-pasep";"PIS/PASEP";"Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público";"Contribuição";"Federal";"Empresa / Folha / Receita";"Contribuições sociais associadas ao financiamento de finalidades sociais. Integram o sistema que será substituído pela CBS.";"Em transição";""
"pis";"PIS";"Programa de Integração Social — contribuição ao PIS";"Contribuição";"Federal";"Empresa / Receita";"Contribuição incidente segundo regimes e hipóteses previstos na legislação, com forte presença na tributação da receita/faturamento.";"Em transição";""
"pasep";"PASEP";"Programa de Formação do Patrimônio do Servidor Público";"Contribuição";"Federal";"Setor público";"Componente do PIS/Pasep ligado historicamente ao setor público.";"Em transição";""
"cofins";"COFINS";"Contribuição para o Financiamento da Seguridade Social";"Contribuição";"Federal";"Empresa / Receita";"Contribuição social incidente, em diversas hipóteses, sobre receita/faturamento. Será substituída pela CBS.";"Em transição";""
"csll";"CSLL";"Contribuição Social sobre o Lucro Líquido";"Contribuição";"Federal";"Empresa";"Contribuição social calculada sobre o resultado ajustado das pessoas jurídicas, conforme regime aplicável.";"Vigente";""
"adcsll";"AdCSLL";"Adicional da Contribuição Social sobre o Lucro Líquido";"Contribuição";"Federal";"Empresa / Financeiro";"Adicional de CSLL aplicável a hipóteses e setores definidos em legislação específica.";"Vigente";""
"cbs";"CBS";"Contribuição Social sobre Bens e Serviços";"Contribuição";"Federal";"Consumo / Empresa";"Novo tributo federal sobre consumo, criado no âmbito da Reforma Tributária, em implementação a partir de 2026.";"Em implantação";"Implementação 2026"
"cide";"CIDE";"Contribuição de Intervenção no Domínio Econômico";"Contribuição";"Federal";"Setorial / Economia";"Classe de contribuições federais usadas para intervenção em determinados setores econômicos.";"Vigente";""
"cide-combustiveis";"CIDE-Combustíveis";"Contribuição de Intervenção no Domínio Econômico incidente sobre combustíveis";"Contribuição";"Federal";"Combustíveis";"Contribuição incidente nas hipóteses legais relacionadas a combustíveis.";"Vigente";""
"cide-royalties";"CIDE-Royalties";"CIDE sobre remessas/royalties e tecnologia";"Contribuição";"Federal";"Tecnologia / Internacional";"Nome de uso comum para a CIDE incidente em determinadas remessas e contratos envolvendo tecnologia, royalties e serviços técnicos.";"Vigente";""
"inss";"INSS";"Contribuição Previdenciária";"Contribuição";"Federal";"Folha / Pessoa física / Empresa";"No uso cotidiano, INSS identifica contribuições destinadas à Previdência Social recolhidas por segurados e empresas. INSS é também o nome da autarquia.";"Vigente";""
"cpp";"CPP";"Contribuição Patronal Previdenciária";"Contribuição";"Federal";"Empresa / Folha";"Contribuição previdenciária de responsabilidade patronal sobre bases previstas na legislação.";"Vigente";""
"cprb";"CPRB";"Contribuição Previdenciária sobre a Receita Bruta";"Contribuição";"Federal";"Empresa / Folha / Receita";"Regime de contribuição previdenciária calculada sobre receita bruta em hipóteses legais específicas.";"Vigente";"Regras específicas"
"rat";"RAT";"Riscos Ambientais do Trabalho";"Contribuição";"Federal";"Empresa / Folha";"Contribuição destinada ao financiamento dos benefícios decorrentes dos riscos ambientais do trabalho, com alíquotas vinculadas ao risco da atividade.";"Vigente";""
"sat";"SAT";"Seguro de Acidente do Trabalho";"Contribuição";"Federal";"Empresa / Folha";"Denominação tradicional frequentemente associada à contribuição atualmente tratada no contexto do RAT.";"Histórico";"Denominação histórica/comum"
"salario-educacao";"Salário-Educação";"Contribuição Social do Salário-Educação";"Contribuição";"Federal";"Empresa / Folha / Educação";"Contribuição social destinada ao financiamento da educação básica pública.";"Vigente";""
"fust";"FUST";"Fundo de Universalização dos Serviços de Telecomunicações";"Contribuição";"Federal";"Telecom";"Contribuição setorial voltada à universalização dos serviços de telecomunicações.";"Vigente";""
"funttel";"FUNTTEL";"Fundo para o Desenvolvimento Tecnológico das Telecomunicações";"Contribuição";"Federal";"Telecom / Tecnologia";"Contribuição destinada ao desenvolvimento tecnológico das telecomunicações.";"Vigente";""
"condecine";"CONDECINE";"Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional";"Contribuição";"Federal";"Audiovisual";"Contribuição de intervenção no domínio econômico ligada ao setor audiovisual.";"Vigente";""
"afrmm";"AFRMM";"Adicional ao Frete para Renovação da Marinha Mercante";"Contribuição";"Federal";"Comércio exterior / Marítimo";"Adicional incidente sobre frete aquaviário em hipóteses legais e destinado à Marinha Mercante.";"Vigente";""
"cfem";"CFEM";"Compensação Financeira pela Exploração Mineral";"Compensação";"Federal / repartida";"Mineração";"Compensação financeira devida pela exploração de recursos minerais; não é imposto.";"Vigente";""
"cfurh";"CFURH";"Compensação Financeira pela Utilização de Recursos Hídricos";"Compensação";"Federal / repartida";"Energia / Recursos hídricos";"Compensação financeira vinculada ao aproveitamento de recursos hídricos para geração de energia em hipóteses legais.";"Vigente";""
"funrural";"FUNRURAL";"Contribuição previdenciária rural (denominação usual)";"Contribuição";"Federal";"Agronegócio / Rural";"Denominação usual para contribuições previdenciárias incidentes em operações do produtor rural segundo as regras aplicáveis.";"Vigente";""
"senai";"SENAI";"Contribuição para o Serviço Nacional de Aprendizagem Industrial";"Contribuição para terceiros";"Federal";"Empresa / Folha / Sistema S";"Contribuição destinada ao SENAI, integrante das contribuições arrecadadas para terceiros em hipóteses aplicáveis.";"Vigente";""
"sesi";"SESI";"Contribuição para o Serviço Social da Indústria";"Contribuição para terceiros";"Federal";"Empresa / Folha / Sistema S";"Contribuição destinada ao SESI.";"Vigente";""
"senac";"SENAC";"Contribuição para o Serviço Nacional de Aprendizagem Comercial";"Contribuição para terceiros";"Federal";"Empresa / Folha / Sistema S";"Contribuição destinada ao SENAC.";"Vigente";""
"sesc";"SESC";"Contribuição para o Serviço Social do Comércio";"Contribuição para terceiros";"Federal";"Empresa / Folha / Sistema S";"Contribuição destinada ao SESC.";"Vigente";""
"sebrae";"SEBRAE";"Contribuição destinada ao SEBRAE";"Contribuição para terceiros";"Federal";"Empresa / Sistema S";"Contribuição destinada ao apoio às micro e pequenas empresas, conforme enquadramento legal.";"Vigente";""
"senar";"SENAR";"Contribuição destinada ao Serviço Nacional de Aprendizagem Rural";"Contribuição para terceiros";"Federal";"Agronegócio / Sistema S";"Contribuição destinada ao SENAR.";"Vigente";""
"sest";"SEST";"Contribuição destinada ao Serviço Social do Transporte";"Contribuição para terceiros";"Federal";"Transporte / Sistema S";"Contribuição destinada ao SEST.";"Vigente";""
"senat";"SENAT";"Contribuição destinada ao Serviço Nacional de Aprendizagem do Transporte";"Contribuição para terceiros";"Federal";"Transporte / Sistema S";"Contribuição destinada ao SENAT.";"Vigente";""
